Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.177777777777784,4.47499999974997,21.4370078736641,34.5761063381485,31.5586605641125,11.3990111699532,-1.58360185022086,1.08156690288337,4.16926655363289,2.79898218829488,1.02103960396035,0.191424196019064,-1.55903706534204,-3.05876872913659,-3.203331464723,-1.5471167369902,0.907563025210508,1.03264490339739,2.0771513353116,-0.0770060064690784,1.05579531442695,0.564325478533135,4.86843103056028,1.22206054877769,0.0571506050626109,-0.371266751712053,-1.333754896539,-1.1249983851764,-1.12094804896791,0.247186492339725,0.612195358172966,0.51550789776726,0.47923167163102,2.20902314069639,4.1678235843158,9.87024816760269,5.0572227614833,5.33941733020903,5.82621637394042,2.86627029905053,3.51104209799857,2.24185348779063,1.22269318552337,2.05347076823965,-0.834845735027246,2.46594308994843,-1.1929864453332,3.37234961012303,3.06328988941548,2.47407371925372,2.32708518362699,1.68792112375809
Saudi Arabia,SAU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,50.801719150343,53.9845519123988,62.9360609368797,73.333738527928,59.7295742232451,57.420627788973,49.3167100937806,54.8563858934186,63.4558013522574,62.8186926802349,50.7317249597399,38.4686570107195,34.5219400414652,30.071110071801,26.7029998136762,30.8617740261925,31.3237665610752,33.7456765574895,40.334827762329,39.1068068578908,34.3528159609611,34.0009481856073,37.3378413620953,40.0228209447804,39.1585979206286,29.6323817967762,34.6664709888381,43.4052690306903,39.633694222871,40.94880327191,45.8541491871159,50.9853310838178,57.050742989557,59.8319082445442,59.9374401392842,62.1115020331022,47.0886206534391,49.5697145263124,55.2733461365779,53.1198476436365,50.3725164415794,45.0958458227862,31.4401316153804,29.1430897114591,32.3625378991189,35.5209831625769,32.159204977113,23.8098115262185,29.1556614026837,35.9850098955522,30.2425196271434,29.1092122693749
Saudi Arabia,SAU,Consumer price index (2010 = 100),FP.CPI.TOTL,22.476564420239,23.4823906779885,34.664481476945,46.6501094539814,61.3722591493503,68.3680898250373,67.2854114896074,68.0131482307479,70.8487976720052,72.8318428994657,73.5754848597634,73.7163261401234,72.5670612923904,70.3474027139254,68.0939422281748,67.0404494510863,67.6488837822393,68.3474565328218,69.7671366388448,73.1022581577558,73.8740683741256,74.2909585639898,77.9077626436198,78.8598426753228,78.9049115525632,78.6119638505007,77.5634729333792,76.6908851153919,75.8312201349547,76.0186646681047,76.484047404548,76.8783287094505,77.2467540092467,78.9531526807478,82.2437807987369,90.3614460659914,94.9312256840462,100,105.82621637394,108.859481782476,112.681584015521,115.207740036871,116.616377223497,119.011060440762,118.017501678462,120.927746106031,119.48509448634,123.514549604405,127.298158314394,130.447608594344,133.483235566339,135.736327296139
Saudi Arabia,SAU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37361.6585899953,41183.7863535133,59924.2484951345,53743.5631866678,58684.0931086193,58778.0556094879,55609.8360446202,58225.422273254,58094.2921854594,56355.6151035112,44478.9420537359,37250.5135148497,33693.40348127,29520.521333039,28170.2401365966,25788.646157361,26066.2475442659,24884.331934111,25918.9650837526,26709.0328186878,25649.064468644,24808.6528928409,23876.246129794,23699.1352161738,23406.0346643453,23179.8581162861,22214.4256445476,22247.8566987439,21193.0922894351,20025.4319998275,20765.9387688082,21545.894988606,21838.1915349374,21616.3355772516,21196.7926036633,21629.8405734551,20577.5453445336,21830.1424272816,23314.5576023168,23643.0358324647,23057.3494468535,23404.7306039825,23256.1549553531,22783.0328538685,23035.1199977707,24393.5188306638,24905.6697428558,22827.671935548,24922.6716948944,26706.917926066,25634.8237547841,24963.3322139095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
